DB,SMILES,BA_type,alk_mods,ring_mods,delta_mz
BILELIB19,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(=O)C12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]=O', '[*]O']",-2.01510030399999
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]=O', '[*]O']",-2.01509568399996
BILELIB19,CC(CCC(=O)N=CC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)N=CC(=O)O'],['[*]O'],55.006368032
BILELIB19,COC(=O)CCC(C)C1CCC2(O)C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)OC'],['[*]O'],14.016204444
BILELIB19,CC(CCC(=O)O)C1CCC2C3CC(=O)C4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]=O', '[*]O']",-2.01510030399999
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(=O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]=O'],-4.03075036799999
BILELIB19,CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CC(O)C4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.000549760000012611
BILELIB19,CC(CC(=O)O)C1CCC2C3C(O)CC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC4(C)C3CCC12C,is_c23,['[*]C(C)CC(=O)O'],"['[*]O', '[*]OC1OC(C(=O)O)C(O)C(O)C1O']",192.027547672
BILELIB19,CC(CCC(=O)O)C1CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]=O'],-2.01510492399996
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(OS(=O)(=O)O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]O', '[*]OS(=O)(=O)O']",95.95227924
BILELIB19,CC(CCC(=O)O)C1CCC2(O)C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.0005543800000396
BILELIB19,CC(CCC(=O)O)C1CCC2C3CCC4C(O)C(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.000549760000012611
BILELIB19,CCOC(=O)CCC(C)C1CCC2C3C(O)CC4CC(=O)CCC4(C)C3CC(=O)C12C,is_c24,['[*]C(C)CCC(=O)OCC'],"['[*]=O', '[*]O']",24.00055438
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4C(O)C(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.0005543800000396
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4C(O)C(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]O'],0.000559000000009746
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(=O)C12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]=O', '[*]O']",-2.01509568399996
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)C(C)C4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]C', '[*]O']",14.016204444
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(OS(=O)(=O)O)CCC4(C)C3CC(OS(=O)(=O)O)C12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],['[*]OS(=O)(=O)O'],
BILELIB19,CC(CCC(=O)O)C1CCC2C3CC(=O)C4CC(=O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]=O'],-4.03075036799999
BILELIB19,CC(=CCC(=O)O)C1CCC2C3C(=O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)=CCC(=O)O'],"['[*]=O', '[*]O']",-4.03075036799999
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(=O)CC4CC(O)CCC4(C)C3CC(=O)C12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]=O', '[*]O']",-4.03074574799996
BILELIB19,CC(CCC(=O)O)C1CCC2C3CCC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]O', '[*]OC1OC(C(=O)O)C(O)C(O)C1O']",192.027547736
BILELIB19,CC(CCC(=O)O)C1CCC2C3CCC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]OC1OC(C(=O)O)C(O)C(O)C1O'],
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]O', '[*]OC1OC(C(=O)O)C(O)C(O)C1O']",192.027552356
BILELIB19,CC(C(O)CC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)C(O)CC(=O)O'],['[*]O'],15.99546438
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(OS(=O)(=O)O)CC4CC(OS(=O)(=O)O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],['[*]OS(=O)(=O)O'],
BILELIB19,CC(=CCC(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)=CCC(=O)NCCS(=O)(=O)O'],['[*]O'],104.989003716
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]O', '[*]OC1OC(C(=O)O)C(O)C(O)C1O']",192.027547736
BILELIB19,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(OS(=O)(=O)O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)CCC(=O)NCCS(=O)(=O)O'],"['[*]O', '[*]OS(=O)(=O)O']",202.95637402
BILELIB19,CC(=CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C,is_c24,['[*]C(C)=CCC(=O)O'],['[*]O'],-2.01510030399999
BILELIB19,CC(CCC(=O)O)C1CCC2C3C(O)C=C4CC(=O)CCC4(C)C3CCC12C,is_c24,['[*]C(C)CCC(=O)O'],"['[*]=O', '[*]O']",-4.03075036799999
BILELIB19,CC(CCC(O)C(C)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c27,['[*]C(C)CCC(O)C(C)C(=O)O'],['[*]O'],15.995469192
BILELIB19,CC(CCC(O)C(C)C(=O)NCCS(=O)(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,is_c27,['[*]C(C)CCC(O)C(C)C(=O)NCCS(=O)(=O)O'],['[*]O'],122.999568592
